ID,Region_ELE4,Tamaño_ELE4,GlosaCIIU_ELE4,Basic,Mngt,CCM,Core,Cloud,Sec,Non-system,Invsuppliers,Infosearch,Custcomm,E-goverm,Non-website,Co&Good-Info,Contact-form,Orders,Payment,Orderinvent,Delivery,Aftersales,Advertising,Docexch,Recruit
105395,8,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
101458,4,Pequeña 1,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106090,5,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104587,13,Micro,Industrias Manufactureras,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103529,7,Pequeña 2,"Agricultura , Ganadería, Silvicultura y Pesca",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
106464,10,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
108649,13,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104903,9,Pequeña 2,Construcción,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
105147,6,Pequeña 1,"Agricultura , Ganadería, Silvicultura y Pesca",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100647,2,Pequeña 1,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107743,13,Micro,Construcción,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
107104,13,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
103185,11,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
106100,2,Pequeña 2,Industrias Manufactureras,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
108421,13,Pequeña 2,Industrias Manufactureras,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
101440,4,Pequeña 2,Construcción,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
104989,9,Pequeña 1,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
102249,5,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100574,2,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
108266,13,Pequeña 1,Industrias Manufactureras,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
109231,13,Pequeña 1,Otros servicios,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106417,10,Pequeña 1,Construcción,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
107957,13,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
103211,13,Mediana,Actividades financieras y de seguros,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
106111,13,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
108706,13,Micro,Actividades de servicios,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
101979,5,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107952,13,Micro,Industrias Manufactureras,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0
105445,12,Grande,Actividades financieras y de seguros,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
100642,2,Pequeña 1,Transporte y Almacenamiento,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
110143,14,Micro,Explotación de Minas y Canteras,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
101737,13,Pequeña 2,Construcción,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
104605,7,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100546,5,Pequeña 1,Transporte y Almacenamiento,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106116,8,Mediana,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105448,9,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101648,4,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
102270,5,Micro,Industrias Manufactureras,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
103814,1,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
105412,13,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
100271,1,Pequeña 1,Explotación de Minas y Canteras,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
101586,4,Micro,Transporte y Almacenamiento,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103618,7,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
106393,10,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105218,10,Pequeña 2,"Agricultura , Ganadería, Silvicultura y Pesca",1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
106547,11,Pequeña 1,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
107884,13,Pequeña 1,Construcción,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
105460,12,Pequeña 2,Industrias Manufactureras,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
103740,14,Pequeña 1,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100698,2,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
107340,13,Micro,Transporte y Almacenamiento,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
106123,13,Pequeña 2,Actividades de servicios,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
103534,7,Mediana,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0
109237,13,Pequeña 2,Construcción,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
